Year_Month,Mean_Sea_Level,North_Extent,South_Extent,Moving_Average_North,Moving_Average_South
1984-04-01,,15.014466666666667,6.422,11.46484222431891,11.467097259653583
1984-05-01,,13.5766875,9.7484375,11.527332362087725,11.390767840970788
1984-06-01,,12.151666666666667,13.230466666666667,11.585096806532169,11.33638506319301
1984-07-01,,9.977533333333334,16.394866666666665,11.607972487535756,11.314652231651792
1984-08-01,,7.7710625,17.9276875,11.588443008369088,11.327484905262903
1984-09-01,,6.8052,18.171466666666667,11.542214836326078,11.379511374796952
1984-10-01,,8.560599999999999,17.5726,11.500200481487365,11.468850783399102
1984-11-01,,10.841533333333333,16.134,11.47054123545562,11.571643045303864
1984-12-01,,12.9894375,10.472999999999999,11.459032246880351,11.617549228099563
1985-01-01,,14.724866666666665,4.4554,11.465963080213685,11.58490089476623
1985-02-01,,15.465714285714286,2.8364285714285713,11.490943226143024,11.510903390925984
1985-03-01,,15.8859375,3.7171875,11.532668538643025,11.42125578675932
1985-04-01,,15.356533333333335,6.4932,11.590824058356285,11.33557223837222
1985-05-01,,14.0734,10.152800000000001,11.66144620889392,11.272267614716307
1985-06-01,,12.219066666666667,13.428533333333332,11.724807042227253,11.230472059160752
1985-07-01,,9.7445625,15.7209375,11.747959848006824,11.208069387789783
1985-08-01,,7.401866666666667,17.6322,11.727590681340157,11.220211887789784
1985-09-01,,6.697666666666667,18.7032,11.683031451949477,11.287278339402688
1985-10-01,,8.5459375,18.2044375,11.642107812836572,11.399905909967202
1985-11-01,,11.024533333333332,16.1402,11.615622889464925,11.511161599622374
1985-12-01,,13.049933333333334,11.3522,11.604372871543779,11.571854664138504
1986-01-01,6.99,14.889625,5.42225,,
1986-02-01,6.98,15.784857142857144,3.193142857142857,,
1986-03-01,6.98,15.909466666666667,3.6984,,
1986-04-01,7.03,15.0588,6.385533333333333,,
1986-05-01,7.063,13.3795625,9.295625,,
1986-06-01,7.023,11.975933333333334,12.687000000000001,,
1986-07-01,7.078,10.146466666666667,15.3168,,
1986-08-01,7.072,7.9795625,16.9988125,,
1986-09-01,7.023,7.410666666666667,17.683133333333334,,
1986-10-01,7.013,9.483933333333335,17.183733333333336,,
1986-11-01,7.036,11.453266666666668,15.006599999999999,,
1986-12-01,6.87,13.2224375,9.6539375,,
1987-01-01,6.904,14.9698,5.126,,
1987-02-01,7.066936675461746,16.050142857142855,3.2537142857142856,,
1987-03-01,7.066936675461746,15.8159375,4.11275,,
1987-04-01,6.908,15.210866666666668,6.796933333333333,,
1987-05-01,6.958,13.742933333333333,9.694066666666666,,
1987-06-01,7.047,12.485666666666667,12.684333333333333,,
1987-07-01,7.088,10.3325625,15.7515625,,
1987-08-01,6.996,7.499904761904761,17.66142857142857,,
1987-09-01,6.95,7.2787,18.246066666666664,,
1987-10-01,6.983,9.048774193548388,17.67409677419355,,
1987-11-01,7.144,11.224033333333333,15.584100000000001,,
1987-12-01,7.117,12.5405,13.379,,
1988-01-01,7.066,15.090473684210526,3.817157894736842,,
1988-02-01,7.099,15.583379310344828,2.885689655172414,,
1988-03-01,7.039,15.957225806451612,3.9661935483870967,,
1988-04-01,7.054,15.123333333333333,6.2874,,
1988-05-01,7.09,13.560870967741936,9.602290322580645,,
1988-06-01,7.095,11.943433333333333,13.0928,,
1988-07-01,7.018,9.80867741935484,15.74867741935484,,
1988-08-01,7.021,7.891580645161291,17.561,,
1988-09-01,7.037,7.369,18.3072,,
1988-10-01,7.117,9.135032258064516,18.361032258064515,,
1988-11-01,7.134,11.330833333333334,16.147666666666666,,
1988-12-01,7.06,13.625548387096774,11.060612903225808,,
1989-01-01,7.059,14.954806451612903,4.736806451612903,,
1989-02-01,7.042,15.495535714285714,2.977607142857143,,
1989-03-01,7.057,15.423290322580646,3.927290322580645,,
1989-04-01,7.039,14.328399999999998,6.306266666666667,,
1989-05-01,7.092,13.044129032258065,10.297161290322581,,
1989-06-01,7.091,12.244533333333333,13.580433333333334,,
1989-07-01,7.102,10.129709677419354,15.710580645161292,,
1989-08-01,7.04,7.881774193548387,17.465645161290322,,
1989-09-01,7.037,7.008333333333334,18.121066666666664,,
1989-10-01,7.031,8.828903225806453,17.85609677419355,,
1989-11-01,7.056,11.115233333333332,15.733433333333332,,
1989-12-01,6.923,13.386806451612904,9.83751612903226,,
1990-01-01,6.985,14.782612903225807,4.867387096774194,,
1990-02-01,6.961,15.578214285714285,3.0361785714285716,,
1990-03-01,6.958,15.866741935483871,3.9659677419354837,,
1990-04-01,7.063,14.650066666666667,6.999866666666667,,
1990-05-01,7.04,13.225838709677419,9.715451612903225,,
1990-06-01,7.101,11.640566666666667,13.0829,,
1990-07-01,6.987,9.246612903225806,15.570935483870969,,
1990-08-01,7.098,6.797483870967742,17.567451612903227,,
1990-09-01,7.044,6.142799999999999,18.192999999999998,,
1990-10-01,7.023,8.484935483870968,17.94532258064516,,
1990-11-01,7.038,11.075199999999999,15.4683,,
1990-12-01,6.97,13.105548387096773,9.95351612903226,,
1991-01-01,6.984,14.363806451612904,5.338258064516129,,
1991-02-01,7.038,15.249392857142857,3.161107142857143,,
1991-03-01,6.996,15.416129032258064,3.8068387096774194,,
1991-04-01,7.033,14.859733333333333,7.053466666666667,,
1991-05-01,6.987,13.473129032258063,10.279451612903227,,
1991-06-01,7.036,12.108033333333333,13.065666666666665,,
1991-07-01,7.019,9.514032258064516,15.55041935483871,,
1991-08-01,7.0,7.4153548387096775,17.718967741935483,,
1991-09-01,7.048,6.4729,18.3126,,
1991-10-01,7.042,8.541419354838709,17.917290322580648,,
1991-11-01,7.006,10.8846,15.583533333333333,,
1991-12-01,6.972,12.945096774193548,10.192322580645161,,
1992-01-01,6.957,14.642677419354838,4.748870967741936,,
1992-02-01,6.96,15.462103448275862,2.837379310344828,,
1992-03-01,6.976,15.481129032258066,3.5732903225806454,,
